DVDRef	DVDNumber	BroodRef	BroodName	NestboxRef	NestboxName	OffspringNo	Age	DVDdate	DVDtime	Weather	Wind	SocialDadID	SocialMumID	SocialDadID.2009to11frommyDBparents	SocialMumID.2009to11frommyDBparents	changedfromDB
3885	VM0548	1625	M167	36	LM14	4	11	24/07/2013	15:15	1	1	6371	6526	6371	6526	NA
3886	VM0549	1599	M141	50	LM26	1	6	24/07/2013	10:12	1	1	NA	NA	5359	5598	NA
3887	VM0550	1601	M143	147	W8	4	6	24/07/2013	06:21	1	1	4757	5214	4757	5214	NA
3888	VM0551	1591	M133	105	R2	3	8	24/07/2013	06:27	1	1	5311	6370	5311	6370	NA
3889	VM0552	1602	M144	412	F11	5	6	24/07/2013	06:24	1	1	4745	4858	4745	4858	NA
3890	VM0553	1610	M152	54	LM29	3	6	25/07/2013	07:15	1	2	4768	4059	4768	4059	NA
3891	VM0554	1589	M131	69	LM40	3	10	25/07/2013	07:13	1	2	5616	5589	5616	5589	NA
3892	VM0555	1590	M132	137	W25	3	10	25/07/2013	09:12	1	2	5195	5625	5195	5625	NA
3894	VM0556	1626	M168	18	F6	4	11	25/07/2013	09:40	0	1	4943	5294	4943	5294	NA
3895	VM0557	1600	M142	389	LM38R	1	6	25/07/2013	07:14	1	2	6521	6500	6521	6500	NA
3896	VM0558	1603	M145	41	LM19	3	6	25/07/2013	10:48	1	1	4895	5140	4895	5140	NA
3897	VM0559	1609	M151	68	LM4	2	8	26/07/2013	10:52	0	1	4960	4873	4960	4873	NA
3898	VM0560	1596	M138	70	LM5	1	8	26/07/2013	06:30	0	1	6461	5407	6461	5407	NA
3900	VM0561	1598	M140	74	LM9	2	8	26/07/2013	06:29	0	1	4991	4723	4991	4723	NA
3901	VM0562	1599	M141	50	LM26	1	8	26/07/2013	06:29	0	1	NA	NA	5359	5598	NA
3902	VM0563	1604	M146	62	LM36	2	6	26/07/2013	08:53	0	1	5393	6290	5393	6290	NA
3903	VM0564	1606	M148	241	LM41	3	6	26/07/2013	08:51	0	1	5202	6387	5202	6387	NA
3904	VM0565	1601	M143	147	W8	4	8	26/07/2013	09:30	0	1	4757	5214	4757	5214	NA
3905	VM0566	1607	M149	131	W20	3	6	26/07/2013	10:32	0	1	6436	6460	6436	6460	NA
3906	VM0567	1627	M169	134	W22	4	11	26/07/2013	12:07	0	1	4722	4944	4722	4944	NA
3907	VM0568	1608	M150	16	F4	2	6	26/07/2013	13:54	0	1	5623	6323	5623	6323	NA
